Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Stanley Johnson,johnsst04,1.2666666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Jrue Holiday,holidjr01,38.38333333333333,10,16,.625,1,4,.250,4,4,1.000,2,4,6,3,2,1,3,3,25,-5
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Khris Middleton,middlkh01,37.55,10,20,.500,3,8,.375,4,4,1.000,2,12,14,8,0,0,2,2,27,7
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Giannis Antetokounmpo,antetgi01,36.4,13,26,.500,3,8,.375,6,8,.750,2,11,13,2,0,2,7,5,35,-1
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Brook Lopez,lopezbr01,29.083333333333332,3,4,.750,1,2,.500,0,0,,2,1,3,0,0,2,0,3,7,22
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Donte DiVincenzo,divindo01,27.216666666666665,6,11,.545,3,4,.750,0,0,,2,3,5,3,2,0,1,3,15,4
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Pat Connaughton,connapa01,23.133333333333333,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,1,1,6,-14
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Bobby Portis,portibo01,16.366666666666667,1,3,.333,0,0,,1,2,.500,1,3,4,1,0,0,1,0,3,-16
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Bryn Forbes,forbebr01,13.516666666666667,1,5,.200,1,4,.250,0,0,,0,1,1,0,0,0,0,1,3,4
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,D.J. Wilson,wilsodj01,12.883333333333333,0,2,.000,0,2,.000,0,0,,0,5,5,1,0,1,1,2,0,-6
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Sam Merrill,merrisa01,5.466666666666667,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Marcus Smart,smartma01,38.45,0,3,.000,0,2,.000,3,4,.750,0,1,1,7,0,2,2,2,3,0
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Jaylen Brown,brownja02,37.63333333333333,13,24,.542,3,8,.375,4,4,1.000,0,5,5,4,2,1,0,3,33,8
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Jayson Tatum,tatumja01,32.81666666666667,12,28,.429,6,13,.462,0,0,,0,7,7,2,2,1,2,2,30,-6
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Daniel Theis,theisda01,24.666666666666668,4,8,.500,2,6,.333,0,0,,0,3,3,3,0,0,0,1,10,7
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Tristan Thompson,thomptr01,22.4,6,10,.600,0,0,,0,0,,4,4,8,1,0,0,0,3,12,-6
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Jeff Teague,teaguje01,25.0,7,15,.467,4,4,1.000,1,2,.500,2,1,3,4,2,1,0,1,19,8
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Semi Ojeleye,ojelese01,18.983333333333334,2,2,1.000,1,1,1.000,0,1,.000,1,3,4,1,0,0,0,1,5,20
