Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Doug McDermott,mcderdo01,9.416666666666666,0,4,.000,0,3,.000,0,0,,0,4,4,1,0,0,1,1,0,-11
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Stanley Johnson,johnsst04,8.6,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-7
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Kevin Durant,duranke01,28.666666666666668,10,14,.714,0,1,.000,5,5,1.000,0,3,3,11,3,1,2,1,25,21
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Kyrie Irving,irvinky01,28.583333333333332,11,14,.786,4,5,.800,1,2,.500,2,6,8,0,1,1,1,2,27,28
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Ben Simmons,simmobe01,23.9,2,5,.400,0,0,,0,0,,0,6,6,9,3,0,0,3,4,22
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Seth Curry,curryse01,22.033333333333335,6,12,.500,4,7,.571,0,0,,0,4,4,1,1,0,0,0,16,24
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Nic Claxton,claxtni01,20.083333333333332,5,8,.625,0,0,,0,0,,1,4,5,1,0,3,2,1,10,18
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,T.J. Warren,warretj01,23.1,9,13,.692,0,0,,0,0,,0,1,1,0,2,2,1,1,18,10
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Patty Mills,millspa02,23.033333333333335,1,4,.250,0,3,.000,0,0,,0,2,2,3,1,0,2,1,2,11
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Day'Ron Sharpe,sharpda01,20.583333333333332,4,9,.444,0,0,,1,2,.500,3,2,5,3,0,0,3,3,9,10
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Joe Harris,harrijo01,15.716666666666667,3,4,.750,1,2,.500,1,2,.500,0,2,2,0,1,0,0,2,8,10
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Yuta Watanabe,watanyu01,12.216666666666667,2,3,.667,1,1,1.000,2,2,1.000,1,4,5,0,0,0,1,0,7,12
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Cam Thomas,thomaca02,12.0,4,5,.800,1,1,1.000,0,0,,0,2,2,2,0,0,0,1,9,7
"Mon, Jan 2, 2023",Barclays Center,Brooklyn Nets,San Antonio Spurs,Edmond Sumner,sumneed01,10.083333333333334,1,2,.500,0,0,,2,2,1.000,0,2,2,1,1,0,0,1,4,7
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Reggie Bullock,bullore01,41.666666666666664,3,8,.375,2,6,.333,0,0,,0,8,8,1,2,1,0,2,8,8
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Luka DonÄiÄ,doncilu01,41.233333333333334,10,26,.385,1,9,.111,18,22,.818,2,10,12,8,1,0,4,2,39,9
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Spencer Dinwiddie,dinwisp01,37.733333333333334,4,12,.333,1,5,.200,2,2,1.000,0,1,1,4,1,0,0,1,11,8
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Tim Hardaway Jr.,hardati02,37.05,7,13,.538,5,11,.455,2,2,1.000,0,3,3,1,1,0,1,2,21,11
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Christian Wood,woodch01,29.05,8,14,.571,3,7,.429,2,2,1.000,3,4,7,4,1,5,1,4,21,4
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Frank Ntilikina,ntilila01,17.483333333333334,0,2,.000,0,2,.000,0,0,,1,2,3,1,0,0,1,1,0,10
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Dwight Powell,poweldw01,15.033333333333333,0,0,,0,0,,6,6,1.000,2,3,5,0,0,0,1,5,6,-1
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,McKinley Wright IV,wrighmc01,6.366666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-14
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Kemba Walker,walkeke02,4.983333333333333,1,2,.500,0,1,.000,0,0,,0,0,0,0,2,0,0,0,2,0
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,DÄvis BertÄns,bertada01,4.766666666666667,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-11
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Theo Pinson,pinsoth01,4.633333333333333,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Kevin Porter Jr.,porteke02,41.55,11,20,.550,2,9,.222,1,2,.500,0,6,6,6,3,1,3,1,25,-7
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Eric Gordon,gordoer01,33.3,7,12,.583,4,6,.667,1,1,1.000,0,4,4,3,0,0,2,3,19,-6
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Jabari Smith Jr.,smithja05,32.43333333333333,4,9,.444,1,4,.250,2,3,.667,0,5,5,2,0,2,0,4,11,-6
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Jalen Green,greenja05,32.31666666666667,5,17,.294,2,5,.400,8,12,.667,1,4,5,4,1,0,0,4,20,-8
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Alperen ÅengÃ¼n,sengual01,25.566666666666666,5,7,.714,0,0,,6,8,.750,1,5,6,5,0,1,2,5,16,5
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,KJ Martin,martike04,19.833333333333332,2,8,.250,0,2,.000,1,1,1.000,2,4,6,0,0,0,2,2,5,2
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Tari Eason,easonta01,15.566666666666666,1,3,.333,0,0,,0,0,,2,5,7,0,0,0,1,3,2,1
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Garrison Mathews,mathega01,12.1,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,2
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Usman Garuba,garubus01,11.45,2,2,1.000,0,0,,2,2,1.000,2,1,3,0,0,0,0,3,6,-3
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,TyTy Washington Jr.,washity02,8.116666666666667,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-2
"Mon, Jan 2, 2023",Toyota Center,Houston Rockets,Dallas Mavericks,Bruno Fernando,fernabr01,7.766666666666667,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,1,0,-3
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Jamal Murray,murraja01,35.88333333333333,6,12,.500,1,3,.333,1,1,1.000,1,2,3,4,1,0,2,0,14,-5
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Aaron Gordon,gordoaa01,33.416666666666664,4,18,.222,0,3,.000,4,6,.667,12,4,16,6,1,0,1,3,12,-10
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Nikola JokiÄ,jokicni01,33.28333333333333,10,20,.500,1,3,.333,3,4,.750,1,6,7,9,2,0,5,4,24,-9
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Kentavious Caldwell-Pope,caldwke01,32.85,3,7,.429,1,2,.500,3,3,1.000,1,3,4,2,0,0,1,4,10,-11
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Michael Porter Jr.,portemi01,27.433333333333334,6,9,.667,4,6,.667,2,2,1.000,0,2,2,0,0,1,2,2,18,-4
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Bruce Brown,brownbr01,22.466666666666665,3,6,.500,0,2,.000,2,2,1.000,0,4,4,3,1,0,0,1,8,-7
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Bones Hyland,hylanbo01,22.333333333333332,7,12,.583,4,7,.571,0,0,,1,5,6,2,2,0,1,2,18,-15
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Vlatko ÄanÄar,cancavl01,16.9,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,3,2,-7
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Zeke Nnaji,nnajize01,12.4,1,3,.333,0,1,.000,1,2,.500,2,0,2,0,1,0,2,2,3,0
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Christian Braun,braunch01,3.033333333333333,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,3
"Mon, Jan 2, 2023",Target Center,Minnesota Timberwolves,Denver Nuggets,Anthony Edwards,edwaran01,36.28333333333333,10,24,.417,3,11,.273,6,6,1.000,1,9,10,5,1,0,3,5,29,13
